Project Name,Technology Type,Technology Type Category 1,Technology Type Category 2,Rated Power in kW,Duration,Status,Service/Use Case 1,Service/Use Case 2,Service/Use Case 3,Service/Use Case 4,Service/Use Case 5,Service/Use Case 6,Service/Use Case 7,Service/Use Case 8,Service/Use Case 9,Service/Use Case 10,Service/Use Case 11,Service/Use Case 12,Latitude,Longitude,City,State/Province,Country,Street Address,Zip/Mail Code,Description,Web Link 1,Announcement Date,Construction Date,Commissioning Date,Decommissioning Date,ISO/RTO,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Ownership Model,Equity Owner 1,Equity Owner 1 Percentage,Equity Owner 2,Equity Owner 2 Percentage,Energy Storage Technology Provider,Power Electronics Provider,Integrator Company,O&M Contractor,Developer,EPC 1,EPC 2,EPC 3,Debt Provider,Projected Project Lifetime years,Performance,Capital Expenditure $ ,Operating Expense $/kWh Capacity/Year,Funding Source 1,Funding Source Details 1,Funding Amount 1,Funding Source 2,Funding Source Details 2,Funding Amount 2,Funding Source 3,Funding Source Details 3,Funding Amount 3,Research Institution,Research Description,Research Institution Link,Contact Name,Contact Email,Contact Phone,Contact Street Address,Contact City,Contact State/Province,Contact Zip/Mail Code,Contact Country,Record Created,Last Updated,Black Start,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Load Following (Tertiary Balancing),Ramping ,Voltage Support,Electric Energy Time Shift,Electric Supply Capacity,Transmission Congestion Relief,Transmission Support,Renewables Capacity Firming,Distribution upgrade due to solar,Distribution upgrade due to wind,Transmission upgrades due to solar,Transmission upgrades due to wind,Electric Bill Management,Grid-Connected Commercial (Reliability & Quality) ,Grid-Connected Residential (Reliability),Frequency Regulation,Transportable Transmission/Distribution Upgrade Deferral,Stationary Transmission/Distribution Upgrade Deferral,Onsite Renewable Generation Shifting,Electric Bill Management with Renewables,Renewables Energy Time Shift,On-Site Power,Transportation Services,Microgrid Capability,Resiliency,Demand Response
McHenry Battery Storage Project - EDF Renewable Energy,Lithium-ion Battery,Electro-chemical,Electro-chemical,19800,n/a,Operational,Electric Supply Capacity,Frequency Regulation,,,,,,,,,,,42,"October 3, 1899",McHenry County,Illinois,United States,,,"EDF Group’s first battery storage project in North America, developed and built by EDF Renewable Energy, reached commercial operation on December 20, 2015. The energy storage system, located in McHenry County, Illinois, added 40 megawatts (MW) of flexible capacity (20 MW nameplate) to the PJM Regional Transmission Organization (RTO) and will participate in both the regulation and capacity markets. 

EDF Renewable Energy acquired 100% interest in the project late in the first quarter of 2015 from Chicago-based GlidePath Power; construction commenced in June 2015. The system is interconnected at the distribution level into Commonwealth Edison Company (ComED). The battery and power electronics were supplied by BYD America, consisting of 11 containerized units totaling 20 MW (22MVA) and is performing at expectation ***Note the 19.8 MW number comes from GlidePath's website www.glidepath.net",http://www.businesswire.com/news/home/20160224006120/en/EDF-Renewable-Energy-Announces-Commercial-Operation-Battery,,,DD.12.YYYY,,PJM,ComEd,Investor Owned,Primary Distribution,,Third-Party-Owned,EDF Renewable Energy,100,,,BYD America,,,EDF Store and Forecast and EDF Renewable Energy,GlidePath Power & EDF Renewable Energy,Renewable Energy Systems (RES),,,,,,,,,,,,,,,,,,,,Sandi Briner,Sandi.Briner@edf-re.com,858-521-3525,,,,,,DD.33.YYYY 05:33:37,DD.13.YYYY 19:13:31,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,
Juicebox Energy-Rising Sun Solar- Maui ,Lithium-ion Battery,Electro-chemical,Electro-chemical,4,2.0,Operational,Electric Bill Management,Electric Energy Time Shift,Resiliency,,,,,,,,,,21,-156,Maui,Hawaii,United States,,,"JuiceBox Energy, a privately-held –Silicon Valley company committed to providing safe, reliable, intelligent, and connected energy storage, announces the first Hawaii installation of its 8.6 kWh Energy Storage System with Rising Sun Solar on the island of Maui.
JuiceBox Energy partnered with Rising Sun Solar, one of Hawaii’s top home solar installers, to install the energy storage system at the home of Brad Albert, Rising Sun Solar’s co-owner.
The JuiceBox Energy Storage System is an automotive-grade 8.6kWh lithium-ion battery pack with proprietary charge control and energy management system coupled to the Schneider Conext XW+ inverter, which is now listed and approved for use in Hawaii. The battery management and system controller is designed for safe, reliable, long lasting control of the lithium-ion cells. It delivers over 4000 cycles and comes with a 10-year warranty. It also has redundant protection mechanisms to prevent over voltage, over current, under voltage and over temperature conditions. The system is designed to support grid-tied, grid isolated in the event of grid failure, and off-grid configurations. Each configuration delivers years of dedicated peak shifting, back-up power, energy efficiency and enables participation in emerging transactive energy exchanges.",http://www.prweb.com/releases/2015/11/prweb13100152.htm,DD.11.YYYY,,,,N/A,,,,,Customer-Owned,Brad Albert,,,,Juicebox Energy,Schneider Conext XW+ inverter,,,,,,,,,N/A,,,,,,,,,,,,,,,,NA,,,,,,,DD.58.YYYY 00:58:55,DD.00.YYYY 01:00:02,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,
Charlotte Hobbs Memorial Library - JuiceBox Energy,Lithium-ion Battery,Electro-chemical,Electro-chemical,6,1.73,Operational,Electric Bill Management with Renewables,Grid-Connected Commercial (Reliability & Quality) ,Renewables Energy Time Shift,Resiliency,,,,,,,,,44,-71,Lovell,Maine,United States,227 Main St,04051,"JuiceBox Energy and ReVision Energy have embarked upon a unique installation of an 8.1 KW solar panel array and an innovative energy storage system at the Charlotte Hobbs Memorial Library in Lovell, Maine.
The 115-year-old library is being outfitted with the latest in high-tech energy storage that supports the board of trustees’ mission statement to combine the traditional role of the institution with a commitment to reducing the building’s carbon footprint. Funded by an anonymous donor, this project provides the library with integrated solar and energy storage to reduce grid reliance, lower costs, and ensure emergency standby electricity. The combined system consists of 27 high-efficiency solar panels and the intelligent JuiceBox Energy Storage solution 
that can be controlled over a cellular, cloud-based network.",http://www.prweb.com/releases/2016/02/prweb13234991.htm,DD.02.YYYY,,,,ISO-NE,Central Maine Power (subsidiary of Iberdrola),Investor Owned,Secondary Distribution,8.1 kW Solar Array,Customer-Owned,Charlotte Hobbs Memorial Library,100,,,"JuiceBox Energy, Inc.",SolarEdge,ReVision Energy,,,,,,,,,,,Private/Third Party Grant,Funded by an anonymous donor,,,,,,,,,,,Greg Maguire,gmaguire@juiceboxsolar.com,571-435-1899,1650 Centre Pointe Drive,Milpitas,CA,95035,United States,DD.23.YYYY 01:23:26,DD.24.YYYY 01:24:24,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,
Maui Brewing Company Microgrid,Lithium Iron Phosphate Battery,Lithium-ion Battery,Electro-chemical,21,4.33,Operational,On-Site Power,Onsite Renewable Generation Shifting,Renewables Capacity Firming,Renewables Energy Time Shift,,,,,,,,,21,"July 27, 1899","Kihei, Maui",Hawaii,United States,605 Lipoa Parkway,96753,"Maui Brewing Company wanted to reduce its reliance on and the cost of utility power and instead transition to solar. It worked with installer ZeroBase to install an off-grid solar PV system supported by a massive 21 kW / 91 kWh SimpliPhi battery storage system. SimpliPhi’s batteries allow the company to extend the power of the sun’s energy far into the night. 

The energy storage system is charged daily from the 16 kW solar PV array. The energy storage system powers a load panel supporting: vehicle chargers, internal and landscape lighting and emergency lighting for the facility, allowing these loads to continue operation during grid outages. At current utilization, battery capacity is discharged to 70-80% on a daily basis with peaks occurring during the day when the vehicle chargers are used at a peak capacity of 12 kW.",https://cleantechnica.com/2015/10/05/cleantechnica-exclusive-simpliphi-power-brings-game-changing-battery-tech-residential-storage/,,,DD.12.YYYY,,N/A,Maui Electric Company (MECO),Investor Owned,,16 kW solar PV array,Customer-Owned,Maui Brewing Company,,,,SimpliPhi Power,Schneider Electric,"ZeroBase Energy, LLC","ZeroBase Energy, LLC","ZeroBase Energy, LLC",,,,,20,N/A,,,,,,,,,,,,,,,Christine Bennett,christine@technicacommunications.com,925-330-4783,,,,,,DD.16.YYYY 18:16:48,DD.30.YYYY 19:30:45,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,
Temecula Valley Unified School District - SolarCity,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,260,10.0,Operational,Electric Bill Management with Renewables,Renewables Energy Time Shift,,,,,,,,,,,33,-117,Temecula,California,United States,,," SolarCity and Temecula Valley Unified School District (TVUSD) are together installing a six megawatt solar and energy storage project across 19 schools and the district's administrative office. The project includes 18 solar carports and two ground mount solar arrays. Five of the project's sites will also be equipped with DemandLogic, SolarCity's smart energy storage system. The energy storage systems will have 2,600 kilowatt hours of energy storage capacity that can later be intelligently dispatched during times of highest demand. TVUSD will reduce energy costs by using stored electricity to lower peak demand, further contributing to the district's overall cost savings.",http://www.prnewswire.com/news-releases/solarcity-and-temecula-valley-unified-school-district-announce-solar-and-energy-storage-project-expected-to-save-the-district-millions-300154752.html,DD.10.YYYY,,,,CAISO,Southern California Edison,Investor Owned,Secondary Distribution,6 MW of solar across 19 schools and the district's administrative office,Third-Party-Owned,SolarCity,100,,,,,Solarcity,SolarCity,SolarCity,SolarCity,,,,25,"It is expected to save the district more than $520,000 within the first year of operation alone, and $35 million over 25 years by providing affordable power at a discount to utility rates.",20000000,,,,,,,,,,,,,,Rohan Ma; David Silva,rma@solarcity.com,,,,California,,United States,DD.16.YYYY 18:16:48,DD.33.YYYY 01:33:48,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,
New Orleans City Hall - PosiGen / SimpliPhi Power,Lithium-ion Battery,Lithium-ion Battery,Electro-chemical,10,2.0,Operational,Electric Bill Management with Renewables,Resiliency,,,,,,,,,,,30,-90,New Orleans,Louisiana,United States,1300 Perdido St,70112,"PosiGen Solar Solutions, made a clean energy contribution to the City of New Orleans to help create a resilient City Hall. PosiGen, with partners SimpliPhi Power and Schneider Electric, is providing 25 kW of solar PV panels, energy storage and an educational monitoring display for the public. The rooftop solar installation will deliver clean power for City Hall to reduce energy costs, as well as provide backup power in the event of power disruptions or a future natural disaster.",http://www.prnewswire.com/news-releases/new-orleans-solar-startup-partners-with-city-of-new-orleans-to-help-power-a-resilient-city-hall-300133595.html,,,DD.08.YYYY,,N/A,Entergy,Investor Owned,Secondary Distribution,25 kW rooftop PV,Customer-Owned,City of New Orleans,,,,SimpliPhi Power,Schneider Electric,PosiGen Solar Solutions,,,,,,,,,,,Private/Third Party,,,Private/Third Party,,,Private/Third Party,,,,,,Deborah Keiser,deborahk@simpliphipower.com ,,,Ojai,California,93023,United States,DD.43.YYYY 23:43:35,DD.52.YYYY 01:52:14,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,
Goldthwaite Storage-Invenergy,Sodium-nickel-chloride Battery,Sodium based Battery,Electro-chemical,600,2.0,Operational,Frequency Regulation,Onsite Renewable Generation Shifting,Ramping ,,,,,,,,,,31,-99,Goldthwaite,Texas,United States,,,"GE  and Invenergy announced today the purchase of the first 2.5-120 brilliant wind turbines in the world. Invenergy has ordered three units as part of an 86-turbine deal with GE for its Mills County, Texas, wind farm. he 2.5-120 is the first wind turbine to incorporate short-term battery storage as part of the complete turbine package. Integrating the battery into the wind turbine allows wind farm operators to reap the benefits of energy storage without the high costs of farm-level battery storage installation. This revolutionary design integrates GE’s advanced Durathon Battery technology with three software applications (apps). The resulting intelligent system enables power producers and the wind turbines themselves to make data-informed decisions and provide short-term predictable power.",http://www.invenergyllc.com/ProjectsbyCountry/UnitedStates/GoldthwaiteStorage.aspx,,,DD.06.YYYY,,ERCOT,,,,,Customer-Owned,Invenergy LLC,,,,,,,,,,,,,,N.A,,,Private/Third Party Debt,Morgan Stanley ,,,,,,,,,,,Alissa Krinsky,akrinsky@invenergyllc.com,,,,,,,DD.54.YYYY 21:54:51,DD.56.YYYY 21:56:17,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,
College of Marin Kentfield Campus - Tesla,Lithium-ion Battery,Electro-chemical,Electro-chemical,2400,2.0,Operational,Electric Bill Management,Electric Energy Time Shift,,,,,,,,,,,38,-123,Kentfield,California,United States,835 College Avenue,94904,"College of Marin is the first community college in California to partner with Tesla to install the new stationary storage products (Tesla Powerpack) on campus.

Being selected as a site for the energy storage systems comes with $5.3 million in government incentives that will cover site preparation costs and installation of the lithium-ion battery pack, liquid thermal control system, and software that receives dispatch commands from a solar inverter. Concrete slabs will be installed behind the Student Services Building at the Kentfield Campus and near the Main Building at the Indian Valley Campus.

Vice President Greg Nelson expects installation to begin in mid-May and last until the end of June. Once the stationary batteries are operational, Nelson estimates the cost savings to be anywhere from $100,000-$150,000 annually for the college.",http://www.prnewswire.com/news-releases/college-of-marin-announces-partnership-with-tesla-motors-300075824.html,DD.01.YYYY,DD.05.YYYY,DD.07.YYYY,,CAISO,,,,,Third-Party-Owned,Tesla Energy,100,,,,,,,,,,,,,"$100,000 - $150,000 annual savings",,,State/Provincial/Regional Grant,5300000,,,,,,,,,,,Greg Nelson (College of Marin),nelson@marincollege.com,,,,,,,DD.33.YYYY 00:33:59,DD.18.YYYY 19:18:13,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
Taft Botanical Gardens - SimpliPhi Power,Lithium Iron Phosphate Battery,Lithium Iron Phosphate Battery,Electro-chemical,10,4.0,Operational,Microgrid Capability,,,,,,,,,,,,34,-119,Ojai,California,United States,,,"SimpliPhi Power and California Solar Electric have completed the  second phase of an off-grid solar plus storage installation at the Taft Botanical Gardens in Ojai, Calif, which are part of an eco resort owned by the non-profit Conservation Endowment Fund.

Taft Gardens was challenged to preserve the pristine natural environment of the gardens while at the same time generating and harvesting enough off-grid power to accommodate expanding operations at this remote location. California Solar Electric originally designed and installed an off-grid hybrid solar power generation and storage solution that would eliminate trenching power lines and dramatically reduce generator use and fuel consumption for the eco resort. 

Phase one of the off-grid solar plus storage system involved the installation of eight PHI2.6 kWh batteries (48 v) to provide over 20 kWh of stored power for the facilities' main lodge and three separate living quarters. A year later, it was evident that the solar PV generation exceeded both the resort's daily electricity loads and the battery storage capacity. Increasing the battery storage allowed them to capture all their PV generation and store more power for evening loads in order to maximize their capital investment - all off grid.",https://www.entelligent.com/news/2016/03/22/simpliphi-power-and-california-solar-electric-expand-energy-storage-capacity-at-taft-botanical-gardens-eco-resort/,,,DD.03.YYYY,,N/A,,,,,Customer-Owned,Conservation Endowment Fund,,,,SimpliPhi Power,, California Solar Electric , California Solar Electric , California Solar Electric , California Solar Electric ,,,,,,,,,,,,,,,,,,,,Lisa Ann Pinkerton,simpliphi@technicacommunications.com,408-806-9626,,,,,,DD.03.YYYY 18:03:07,DD.55.YYYY 18:55:13,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,
College of Marin Indian Valley campus - Tesla,Lithium-ion Battery,Electro-chemical,Electro-chemical,1440,2.0,Operational,Electric Bill Management with Renewables,,,,,,,,,,,,38,-123, Novato,California,United States,1800 Ignacio Blvd,94949,"High-tech Tesla battery installations on the College of Marin’s Kentfield and Indian Valley campuses could save $10,000 a month thanks to a unique partnership enabling the college to store and distribute electricity generated by its solar arrays.

Tesla will get $5.3 million in state and utility incentives and rebates covering site preparation, installation of lithium-ion battery packs, a liquid thermal control system, and software commanded by a solar inverter.

The energy storage system is designed to store and distribute electricity generated by the school’s solar arrays. The project took nearly 18 months of planning and will be completed at the end of May. The Kentfield campus will benefit from five 480-kilowatt batteries housed in 10-foot cabinets behind the Student Services Building. Another three will be near the Indian Valley campus’ main building — all at no cost to the college.

The college’s electricity provider, Marin Clean Energy, alerted the college about the Tesla program and helped with paperwork for the incentives program that paid for the project, Nelson said.",http://www.marinij.com/technology/20160515/college-of-marin-gets-tesla-batteries-for-solar-power-storage,DD.01.YYYY,DD.05.YYYY,DD.07.YYYY,,CAISO,Marin Clean Energy,,,,Third-Party-Owned,College of Marin,,,,Tesla,Tesla,Tesla,Tesla,Tesla,Tesla,,,,,"Cost savings of $100,000 - $150,000 annually ",,,,,,,,,,,,,,,Greg Nelson (College of Marin),nelson@marincollege.com,,,,,,,DD.15.YYYY 19:15:47,DD.18.YYYY 19:18:44,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,
"BJ's Wholesale Club - SolarCity / Direct Energy - (Framingham, MA)",Lithium-ion Battery,Electro-chemical,Electro-chemical,200,2.0,Operational,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Renewables Energy Time Shift,,,,,,,,,42,-71,Framingham,Massachusetts,United States,26 Whittier St,01701,"SolarCity and Texas-based Direct Energy installed solar electric and energy storage systems at two BJ's Wholesale Club locations in Massachusetts.

BJ's in Framingham hosts a 400 kW rooftop photovoltaic system, while the Dedham location has a 764 kW array. Both sites will have a 200 kW / 400kWh lithium-ion battery storage system.

SolarCity will also install a 1.3 MW solar system on BJ's distribution facility in Uxbridge, Mass., this year. All three of these new solar projects for BJ's were assisted by a dedicated investment fund created by Direct Energy and SolarCity in 2013 to finance up to $124 million in solar projects.

http://www.solarcity.com/newsroom/press/bj%E2%80%99s-wholesale-club-saves-energy-storage-direct-energy-and-solarcity",http://solarindustrymag.com/solarcity-and-direct-energy-installing-solar-and-storage-systems-for-bjs-wholsale-clubs,DD.10.YYYY,,DD.02.YYYY,,ISO-NE,,,,400 kW rooftop photovoltaic system,Third-Party-Owned,SolarCity,,,,,,SolarCity,,,,,,,,,,,,,,,,,,,,,,,Molly Canales,press@solarcity.com,650 963 5674,,,,,,DD.13.YYYY 00:13:27,DD.14.YYYY 00:14:07,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,
HELCO BESS - Koyo (NELHA),Lithium-ion Battery,Electro-chemical,Electro-chemical,100,2.50,Operational,Distribution upgrade due to solar,Frequency Regulation,Renewables Capacity Firming,,,,,,,,,,20,-156,"Kailua Kona, Hawaii 96740",Hawaii,United States,73-987 Makako Bay Drive ,,"The battery energy storage system located at Koyo USA Corp, a tenant of the Natural Energy Laboratory of Hawaii Authority (NELHA), is a Saft turnkey energy storage system (ESS) comprised of two Intensium Max 20E containers integrated with a 100 kW Power Conversion System to the Hawaii Electric Light Company (HELCO) to increase the grids' ability to integrate more renewable energy.  

The project aims to achieve the integration of ever‐increasing amounts of renewable energy. The Hawaii Big Island is already a leader, with more than one‐third of its energy coming from renewable sources.",http://www.saftbatteries.com/force_download/Hawai.pdf,DD.09.YYYY,,DD.06.YYYY,,N/A,Hawaii Electric Light Company,Investor Owned,,,Utility-Owned,Hawaii Electric Light Company,100,,,Saft,Saft,Saft,,,,,,,15,,,,Federal/National American Recovery and Reinvestment Act of 2009 - RD&D,US Department of Energy,450000,,,,,,,Natural Energy Laboratory of Hawaii Authority (NELHA),NELHA administers the world’s premier energy and ocean technology park.,http://nelha.hawaii.gov/,Riley Ceria,riley.ceria@helcohi.com,(808) 969-0353,"54 Halekauila St., ",Hilo,Hawaii,96720,United States,DD.44.YYYY 21:44:45,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,
Stone Edge Farm Winery - Aquion Energy,Sodium-ion Battery,Electro-chemical,Electro-chemical,30,11.67,Operational,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Renewables Energy Time Shift,,,,,,38,"August 30, 1899",Sonoma,California,United States,21692 8th St E #110,95476,"The solar PV + storage installation is part of the farm’s innovative microgrid and is designed to provide energy for a number of buildings on the site, including the primary residence, offices and workshops.

The system consists of fourteen 25 kWh Aquion M-Line Battery Modules providing approximately 350 kWh of energy storage capacity, connected to a 32 kW solar array using Ideal Power’s 30 kW multi-port power conversion system. The Ideal Power multi-port system architecture enables the direct DC-level connection of solar PV and energy storage in one compact, highly efficient, transformerless package, eliminating the complexities and redundancies of older, AC-coupled systems. 

Aquion’s safe and environmentally friendly battery technology is a unique saltwater chemistry made from abundant, nontoxic materials. The batteries are designed for daily deep cycling in long duration (4+ hour charge/discharge) applications, making them ideal for solar installations.
",http://blog.aquionenergy.com/press-release-aquion-and-ideal-power-bring-energy-independence-and-resiliency-to-sonoma-winery,,,DD.04.YYYY,,CAISO,Pacific Gas and Electric,Investor Owned,Secondary Distribution,32 kW Solar PV,Customer-Owned,Stone Edge Farm,,,,Aquion Energy ,Ideal Power,,,,,,,,,N/A,,,,,,,,,,,,,,,Elizabeth Pond; Gene Hunt,epond@aquion-energy.com; gene@trevicomm.com,978-750-0333,,,,,United States,DD.47.YYYY 21:47:25,DD.47.YYYY 23:47:23,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,
Duke Energy Rankin Substation - Win Inertia / Maxwell,Electro-chemical Capacitor,Electro-chemical Capacitor,Electro-chemical,250,0.3,Operational,Load Following (Tertiary Balancing),Renewables Capacity Firming,Renewables Energy Time Shift,,,,,,,,,,35,"October 10, 1899",Mt. Holly,North Carolina,United States,458 Glendale Ave,28120,"This project demonstrates a first-of-its-kind Hybrid Energy Storage System (HESS) that facilitates RES integration, providing multiple services in a cost-optimized configuration. Maxwell Technologies' Ultracapacitors provide a fast response and high power density, while Aquion Energy's Aqueous Hybrid Ion (AHI) batteries provide low-cost performance and very high energy density. The integration of these ESSs along with innovative energy management algorithms into the hardware and software HESS platform allows for simultaneous solar smoothing, price arbitrage and load following, as well as peak shaving.",http://wininertia.es/projects/rankin/,,,DD.02.YYYY,,N/A,Duke Energy,Investor Owned,Primary Distribution,Utility Owned Solar on Circuit,Third-Party-Owned,Win Inertia/Maxwell,,,,Maxwell Technologies,Win Inertia,Win Inertia,,,,,,,,N/A,,,Private/Third Party,Win Inertia,,Private/Third Party,Maxwell Technologies,,,,,,,,Rosemary Overbey,marketing@wininertia.es,(34)954173085,"P.E. Aerópolis - Calle Wilbur y Orville Wright, 29",La Rinconada,Sevilla,41309,Spain,DD.11.YYYY 17:11:18,DD.17.YYYY 18:17:59,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,
Duke Energy Rankin Substation - Win Inertia / Aquion Energy,Sodium-ion Battery,Sodium based Battery,Electro-chemical,50,6.0,Operational,Load Following (Tertiary Balancing),Renewables Capacity Firming,Renewables Energy Time Shift,,,,,,,,,,35,"October 10, 1899",Mt. Holly,North Carolina,United States,458 Glendale Ave,28120,"This project demonstrates a first-of-its-kind Hybrid Energy Storage System (HESS) that facilitates RES integration, providing multiple services in a cost-optimized configuration. Maxwell Technologies' Ultracapacitors provide a fast response and high power density, while Aquion Energy's Aqueous Hybrid Ion (AHI) batteries provide low-cost performance and very high energy density. The integration of these ESSs along with innovative energy management algorithms into the hardware and software HESS platform allows for simultaneous solar smoothing, price arbitrage and load following, as well as peak shaving.",http://wininertia.es/projects/rankin/,,,DD.02.YYYY,,N/A,Duke Energy,Investor Owned,Primary Distribution,Utility Owned Solar on Circuit,Third-Party-Owned,Aquion,,,,Aquion,Win Inertia,Aquion,,,,,,,,N/A,,,,,,,,,,,,,,,Rosemary Overbey,marketing@wininertia.es,(34)954173085,"P.E. Aerópolis - Calle Wilbur y Orville Wright, 29",La Rinconada,Sevilla,41309,Spain,DD.29.YYYY 17:29:41,DD.28.YYYY 18:28:11,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,
Alachua County Library,Ice Thermal Storage,Ice Thermal Storage,Thermal Storage,100,9.0,Operational,Electric Bill Management,Electric Energy Time Shift,Electric Supply Reserve Capacity - Non-Spinning,,,,,,,,,,30,"October 9, 1899",Gainesville,Florida,United States,401 E. University Ave.,32601," The Alachua County Library Headquarters in Gainesville, Florida is using its IceBank® energy storage tanks to reduce operating costs and save taxpayer money. CALMAC’s technology enables the 80,000 square foot library, which was built in 1992, to shift cooling load so that it uses nighttime energy that is 68 percent cheaper than the energy that would be used for creating instantaneous cooling during daytime hours. Additionally, thermal storage allows monthly demand (kW), and the resulting demand charges, to be cut in half. This is significant since 40 percent of the headquarters’ total electric costs for the year can be directly attributed to cooling the structure and the facility’s power provider implements a demand charge that equates to roughly $9.25 in extra fees per kW during peak demand hours.",http://www.calmac.com/calmac%E2%80%99s-energy-storage-tanks-allow-alachua-county-library-hq-to-close-the-book-on-high-priced-energy,,,DD.01.YYYY,,N/A,GRU,,Secondary Distribution,,Customer-Owned,Alachua County,1,,,CALMAC Corp.,,,,,,,,,25,RTE 99%,,,,,,,,,,,,,,,Daniel Whitcraft,dwhitcraft@aclib.us,(352) 334-3915 ,401 E. University Ave.,Gainesville,FL,32601,United States,DD.20.YYYY 20:20:15,DD.04.YYYY 23:04:39,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,
Stone Edge Farm Winery- All Iron Flow Battery (IFB),Flow Battery,Flow Battery,Electro-chemical,10,6.0,Operational,Grid-Connected Residential (Reliability),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Renewables Energy Time Shift,,,,,,,,38,"August 30, 1899",Sonoma,California,United States,21692 8th E #110,95476,"ESS Inc. is operating a customized All-Iron Flow Battery (IFB) system at Stone Edge Farm winery in Sonoma, California to demonstrate how energy storage can enable net zero, with intermittent renewables, in an advanced microgrid application. The iron, salt, and water electrolyte was hydrated on-site as part of a two day installation and commissioning. The 60 kWh IFB system provides multiple services that will maximize the microgrid’s use of renewables. The Iron Flow Battery system installed at Stone Edge Farm has a 60 kWh energy capacity with a 10 kW, 480 VAC, 3-phase interface. 

The system is self-contained in a 20’ ISO shipping container, the IFB was easily sited in an environmentally sensitive area, given its small footprint and non-toxic, non-flammable chemistry. Microgrid controls at Stone Edge are provided by DC Systems, Inc. and connect to the IFB through a MODBUS communication link. The Iron Flow Battery will receive commands from DC System’s controller responding to specific needs on the microgrid to supply power at night, for irrigation or hydrogen generation, or during the day to smooth out the intermittencies of solar on the microgrid.",http://www.essinc.com/2016/05/11/ess-all-iron-flow-battery-operational-at-stone-edge-farms-microgrid/,,,DD.04.YYYY,,CAISO,Pacific Gas and Electric,Investor Owned,,,Customer-Owned,Stone Edge Farm,,,,ESS Inc.,,,,,,,,,,N/A,,,,,,,,,,,,,,,Bill Sproull,wrsproull@essinc.com,,,,,,United States,DD.59.YYYY 16:59:37,DD.31.YYYY 18:31:26,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,TRUE,,
